P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],Total upload [MB],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Package C8 Ocupação [%],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
40,0.0,39.0,5046,21:37:15.215,4.9,0.0,0.0,5.525,2394.1,1.7,21.9,42,0.001,0.6,59,0.0,0.0,4.0,2618.6,100.6,38.8,12.2,0.0,97.6,41,59,41,0.0,44,0.0,36,2.861,204.7,0,43.3,12042,0.3,41,0.0,90.9,0.0,91.3,0.0,3291.9,0.0,59,0.858,0.0,0.0,0.9,59,0.0,0.0,0.0,10.3,0.1,0.0,0.1,43.3,2849,1.2,41,5.4,8653,41.8,4.1,44,24.0,0.0,49.6,0.0,0.0,33.0,60,0.0,1.1,0.0,33.0,0.0,0.0,0.0,0.6,0,0.0,0.0,44,0.0,1.523,1.033,29.5,2394.1,0.0,41,0.0,99.0,530,1.076,0.0,0.0,58,59,99.9,24.0,0.4,97.9,0.0,0.0,0.863,4.1,39,5.1,0.0,0.0,0.0,3391.7,0.0,99.4,7.7,0.8,44,40,0.2,0.0,8.4,0.071,0.0,41,0.0,1.5,1.2,36.0,5.2,0.0,56,4.375,14.9,34.0,0.0,59,0.0,0.1,36,0.0,43,0.5,3291.9,2.1,75.1,0.0,0.678,2.5,2.729,28.0,1,0.0,0.3,26.2,0.8,0.5,21.6.2026,0.823,41,4,0.0,0.0,607,2.0,63.9,0.0,0.0,0.0,33.0,0.0,0.0,47.8,5.2,0.834,2793.2,44,0.1,0.0,99.9,300.0,0.0,0,0.818,1097.3,0.0,0.0,0.0,1795.6,0.0,0,0.0,0.868,0.6,0.878,0.808,0,18.0,11.0,0.6,1.2,8.5,0.898,32.2,3291.9,1.9,11.7
40,0.0,39.0,5058,21:37:16.208,29.5,0.0,6.6,5.525,1596.1,11.0,176.7,47,0.0,6.0,58,0.4,0.0,23.8,2319.3,571.3,38.8,37.8,0.0,66.8,42,57,42,12.7,48,0.0,36,2.319,698.4,0,0.0,12024,16.5,43,0.0,32.8,3.6,9.1,0.0,4489.0,0.0,57,1.048,0.2,29.3,6.3,58,0.2,0.0,0.316,103.1,0.2,10.2,11.6,36.8,2837,10.3,42,0.1,8671,41.8,4.1,43,16.0,0.0,42.4,0.1,0.0,44.0,60,0.0,0.0,0.0,44.0,11.2,7.1,0.1,0.9,0,0.0,0.1,46,0.5,1.315,0.802,203.0,1097.3,3.2,41,9.6,86.4,530,0.882,0.0,0.0,53,58,89.3,11.0,17.4,77.1,0.0,0.0,1.04,281.2,39,30.2,0.0,0.0,11.4,399.0,0.0,50.9,52.6,6.8,47,40,15.8,2.2,29.0,0.066,0.0,42,0.0,22.7,9.1,36.0,10.8,0.0,54,8.125,0.7,4.0,0.0,58,0.0,15.7,36,2.6,44,61.9,4389.3,17.9,4.5,0.0,1.025,56.3,7.353,39.0,1,0.0,13.8,23.2,4.2,199.0,21.6.2026,1.025,43,4,0.0,1.9,604,12.0,64.0,0.0,0.2,10.8,45.0,0.0,0.0,2.2,10.8,0.997,3890.5,43,13.7,0.158,86.7,300.0,0.0,0,0.981,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.063,1.0,1.053,1.025,0,11.0,11.0,0.7,9.1,337.1,0.693,215.6,4389.3,13.9,36.8
40,0.1,40.0,5056,21:37:17.209,13.7,0.0,0.0,5.525,1097.3,5.9,68.9,42,0.182,2.9,57,0.0,0.0,12.4,1346.7,306.9,38.8,30.6,0.0,95.5,43,58,43,2.3,44,0.215,36,7.545,759.1,0,0.6,12026,11.8,43,0.0,62.6,0.6,55.7,0.0,1596.1,0.0,57,0.695,0.1,22.2,4.8,57,0.0,0.0,0.0,55.3,0.1,5.9,1.7,30.6,2839,3.7,43,9.3,8669,41.8,4.1,44,11.0,0.0,48.1,0.0,0.0,16.0,60,0.0,1.1,0.1,16.0,1.4,0.0,0.5,0.6,0,0.0,0.9,41,0.5,3.252,3.494,126.1,1097.3,1.1,43,0.0,94.7,530,2.938,0.0,0.0,58,57,98.7,11.0,10.1,93.3,0.0,0.0,0.694,39.0,39,13.3,0.0,0.0,4.0,1596.1,23.0,66.0,30.4,6.4,43,40,8.2,4.2,30.1,0.199,0.0,43,0.0,10.4,5.2,36.0,8.8,0.0,59,2.5,11.2,16.0,0.0,57,0.0,7.3,36,1.4,44,14.5,1596.1,1.5,33.3,0.0,0.7,28.9,6.302,10.0,1,2.1,9.6,13.5,0.7,27.9,21.6.2026,0.7,42,4,0.0,0.0,608,6.1,64.0,0.0,0.0,2.3,16.0,0.0,0.0,7.6,8.8,0.696,997.6,44,1.9,0.29,97.5,300.0,0.0,0,0.681,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.689,0.6,0.695,0.694,0,11.0,11.0,0.7,5.2,238.5,0.702,138.9,1596.1,6.3,30.6
47,0.0,40.0,5013,21:37:18.213,57.8,0.0,0.1,5.525,3092.4,13.8,288.3,53,0.058,11.6,57,0.0,0.0,87.1,3379.2,2166.3,38.8,36.8,0.0,60.4,43,55,43,10.0,47,0.0,36,6.168,1200.4,0,0.0,12031,11.5,43,0.0,32.2,0.9,0.0,0.0,4389.3,0.0,57,1.046,0.0,35.9,19.5,57,0.0,0.0,0.0,220.5,0.0,4.8,7.8,57.8,2882,16.3,43,0.0,8664,41.8,4.1,48,31.0,0.0,44.2,0.0,0.0,45.0,53,0.0,0.0,0.0,44.0,2.7,0.0,0.2,0.7,0,0.0,7.4,46,0.2,2.695,2.946,371.1,3092.4,1.0,48,2.1,79.6,530,2.711,0.0,0.0,47,57,98.9,31.0,11.9,71.4,0.0,0.0,1.035,188.7,39,56.2,0.0,0.0,3.8,1396.6,0.0,50.3,34.4,18.5,53,40,7.7,0.8,41.2,0.157,0.0,43,0.5,17.7,15.1,36.0,13.4,0.0,54,8.75,0.0,14.0,0.0,57,0.0,7.1,36,1.3,44,11.5,4489.0,27.7,18.3,0.0,1.055,41.4,10.498,37.0,1,0.0,13.1,33.9,0.8,42.8,21.6.2026,1.035,45,4,0.0,0.0,604,25.3,63.4,0.0,0.0,3.8,44.0,0.0,0.0,0.0,13.4,1.04,3691.0,44,10.5,0.315,95.7,300.0,0.0,0,0.941,3092.4,0.0,0.0,0.0,3092.4,0.0,0,0.0,1.061,0.6,1.046,1.035,0,31.0,31.0,0.8,15.1,332.1,1.005,394.5,4389.3,25.8,33.2
39,0.0,40.0,5007,21:37:19.208,38.8,0.0,1.5,5.525,1097.3,8.8,37.5,41,0.032,3.1,57,0.0,0.0,52.1,1508.8,1352.1,38.8,27.4,0.0,81.6,43,58,43,5.9,44,0.0,36,10.665,741.2,0,11.3,12039,22.2,39,0.0,36.8,0.0,8.0,0.0,2094.9,0.0,61,0.725,0.3,25.3,2.1,57,0.3,0.0,0.0,30.4,0.0,5.8,6.4,38.8,2888,2.7,43,0.0,8656,41.8,4.1,44,11.0,0.0,48.6,0.0,0.0,21.0,61,0.0,0.6,0.0,21.0,2.1,0.0,0.3,0.8,0,0.0,0.2,41,0.3,3.937,6.122,275.6,1097.3,0.0,43,1.5,96.0,530,6.696,0.0,0.0,59,57,99.9,11.0,23.9,95.3,0.0,0.0,0.691,149.4,39,39.9,0.0,0.0,3.7,1396.6,14.8,48.2,58.8,4.5,43,40,8.1,0.0,36.6,0.174,0.0,43,1.0,18.2,11.6,36.0,12.1,0.0,59,1.875,0.9,14.0,8.8,57,0.0,7.5,36,1.3,44,0.6,2094.9,11.1,9.4,0.0,0.691,47.5,11.053,16.0,1,0.0,36.5,15.1,1.3,42.4,21.6.2026,0.691,42,4,0.0,0.0,603,2.7,63.4,0.0,0.1,3.8,21.0,0.0,0.0,0.0,12.1,0.709,1596.1,44,5.6,0.34,96.1,300.0,0.0,0,0.691,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.726,0.7,0.726,0.691,0,11.0,11.0,0.7,11.7,949.7,0.734,323.9,2094.9,3.8,31.0
40,0.0,40.0,5024,21:37:20.205,12.3,0.0,4.0,5.525,1097.3,6.8,113.4,41,0.057,7.5,58,0.2,0.0,9.6,1247.0,232.7,38.8,25.6,0.0,83.8,42,59,42,4.2,44,0.0,36,10.763,451.4,0,0.0,12007,10.5,41,0.0,62.3,0.5,61.7,0.0,1396.6,0.0,59,0.693,0.1,17.0,10.9,58,0.0,0.0,0.064,133.3,0.1,7.9,4.8,25.3,2871,6.6,42,0.0,8688,41.9,4.1,43,11.0,0.0,44.7,0.0,0.0,14.0,60,0.0,22.1,0.1,14.0,4.9,0.0,0.3,0.5,0,0.0,0.0,41,0.4,3.852,6.294,116.0,1097.3,0.6,42,5.3,84.3,530,6.225,0.0,0.0,59,58,99.3,11.0,10.4,84.3,0.0,0.0,0.692,115.6,40,12.2,0.0,0.0,7.7,1396.6,0.0,71.1,37.4,11.2,42,40,9.4,0.7,18.1,0.183,0.0,42,0.0,12.5,5.2,36.0,7.1,0.0,59,1.25,5.9,14.0,0.0,58,0.0,9.0,36,1.6,44,8.5,1396.6,11.4,32.7,0.0,0.69,23.4,5.893,8.0,1,3.2,9.8,12.5,1.6,90.6,21.6.2026,0.691,41,4,0.0,1.8,607,9.6,63.6,0.0,0.1,7.8,14.0,0.0,0.0,0.0,7.1,0.698,798.0,43,4.0,0.651,89.9,300.0,0.0,0,0.651,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.695,0.8,0.718,0.722,0,11.0,11.0,0.5,5.2,243.2,0.687,114.5,1396.6,10.0,25.3
47,0.1,40.0,5030,21:37:21.210,37.0,0.0,0.0,5.525,3092.4,9.8,294.5,45,0.074,8.7,56,0.0,0.0,53.9,2905.4,1390.0,38.8,22.2,0.0,92.0,44,56,44,1.4,45,0.0,36,5.854,595.1,0,0.0,11998,5.4,39,0.0,58.5,0.2,45.4,0.0,4489.0,0.0,61,1.051,0.7,6.7,14.1,56,0.3,0.0,0.0,157.3,0.1,0.1,1.1,37.0,2865,16.3,44,0.0,8697,42.0,4.1,49,31.0,0.1,44.9,0.1,0.0,45.0,53,0.0,5.4,0.1,45.0,6.4,0.0,0.3,1.4,0,0.0,5.1,45,0.3,3.552,1.767,228.9,3092.4,0.2,49,0.0,85.4,530,4.715,0.0,0.0,55,56,99.5,31.0,5.1,73.1,0.1,0.0,0.968,26.7,40,37.1,0.0,0.0,10.3,1396.6,15.7,87.0,59.6,11.3,47,40,0.2,0.0,23.3,0.152,0.0,44,7.1,10.1,9.5,36.0,12.3,0.0,55,9.375,1.3,14.0,17.9,56,0.0,0.2,36,0.0,44,2.4,4489.0,5.7,9.6,0.0,1.033,8.7,7.494,39.0,1,0.0,4.2,29.1,1.0,122.9,21.6.2026,1.06,44,4,0.0,0.0,607,26.2,63.7,0.0,0.1,10.8,45.0,0.0,0.0,0.0,12.3,1.045,3890.5,44,1.6,0.004,88.8,300.0,0.0,0,0.981,1097.3,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.066,2.1,1.048,1.07,0,11.0,11.0,2.7,9.5,150.2,1.062,229.4,4489.0,26.6,21.6
42,0.0,40.0,5026,21:37:22.211,52.0,0.0,0.0,5.525,2094.9,12.1,97.3,51,0.001,3.1,56,0.0,0.0,86.8,2656.0,2227.4,38.8,42.6,0.0,88.1,44,56,44,3.5,51,0.0,36,7.688,1717.7,0,0.0,12004,29.3,43,0.0,39.1,0.1,7.5,0.0,4489.0,0.0,57,1.031,0.3,7.2,5.1,56,0.2,0.0,0.0,56.3,0.0,0.1,4.6,52.0,2869,4.8,44,0.0,8691,41.9,4.1,52,21.0,0.0,50.9,0.0,0.0,14.0,58,0.0,0.0,0.0,45.0,2.7,0.0,0.0,0.8,0,0.0,5.2,44,0.0,3.357,3.92,462.0,2094.9,0.1,52,0.0,94.8,530,5.092,0.0,0.0,49,56,99.8,21.0,29.9,91.2,0.0,0.0,1.046,105.5,39,52.0,0.0,0.0,2.3,4489.0,1.2,56.4,44.8,7.6,51,41,0.2,0.0,66.5,0.123,0.0,44,14.5,10.3,18.4,36.0,12.1,0.0,56,7.5,0.0,45.0,0.0,56,0.0,0.2,36,0.0,44,1.8,1396.6,6.5,4.6,0.0,1.046,23.8,12.811,39.0,1,0.0,52.2,26.6,0.4,35.1,21.6.2026,0.82,44,4,0.0,0.0,607,8.5,63.6,0.0,0.0,3.1,45.0,0.0,0.0,0.0,12.1,0.984,3890.5,44,3.9,0.0,96.9,300.0,5.2,0,0.981,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.031,0.5,1.031,0.815,0,11.0,11.0,0.6,18.4,1301.1,1.051,539.1,4489.0,7.3,42.3
42,13.3,40.0,5272,21:37:23.226,83.1,0.0,0.0,5.525,1097.3,10.4,70.6,62,0.001,1.7,56,0.0,0.0,141.7,2381.7,3674.1,38.8,12.2,0.0,96.9,44,54,44,0.9,62,0.0,36,12.84,417.3,0,48.7,11159,3.4,45,0.0,51.4,1.6,0.0,0.0,4489.0,0.0,55,0.966,0.1,2.0,2.7,56,0.0,0.0,0.0,30.8,0.0,0.1,1.1,83.1,2623,4.3,44,0.0,9536,46.0,4.1,66,11.0,0.0,48.3,0.0,0.0,14.0,58,0.0,0.0,0.0,43.0,0.5,0.0,0.2,0.3,0,0.0,0.0,46,0.2,3.394,8.855,406.1,1097.3,2.7,66,0.0,97.1,530,6.664,0.0,0.0,38,56,97.3,11.0,1.9,93.6,0.0,0.0,1.008,26.9,39,83.1,0.0,0.0,2.3,4489.0,0.0,95.4,57.3,2.8,62,41,0.2,4.2,16.5,0.109,0.0,44,0.0,9.7,15.9,36.0,13.6,0.0,54,13.125,0.0,45.0,5.8,56,0.0,0.1,36,0.0,44,29.3,1396.6,2.0,13.5,0.0,1.008,16.7,13.092,39.0,1,0.0,2.9,23.9,0.4,13.3,21.6.2026,1.001,46,4,0.0,0.0,607,6.3,66.7,0.0,0.0,1.2,45.0,0.0,0.0,0.0,13.6,1.011,3890.5,44,0.8,0.003,98.8,300.0,0.0,0,0.986,1097.3,0.0,0.0,20.8,1097.3,0.0,0,0.0,1.021,0.4,1.035,1.006,0,11.0,11.0,537.3,15.9,72.2,1.042,477.2,4289.5,0.0,11.8
45,32.2,41.0,5314,21:37:24.226,67.5,0.0,0.0,5.525,1097.3,10.8,0.4,47,0.0,2.8,55,0.0,0.0,112.1,2531.3,2902.2,38.8,2.0,0.0,89.2,45,53,45,3.7,60,0.0,36,13.524,46.1,0,32.9,11134,14.8,46,0.0,48.8,0.0,0.0,0.0,1895.4,0.0,54,1.034,0.2,1.3,4.5,55,0.2,0.0,0.021,51.5,0.0,0.0,2.3,67.5,2581,0.0,45,0.0,9561,46.2,4.1,53,11.0,0.0,51.1,0.0,0.0,42.0,55,0.0,0.0,0.0,45.0,4.7,0.0,0.2,0.4,0,0.0,2.7,61,0.2,3.376,9.614,414.0,3092.4,0.0,53,0.0,95.3,530,6.328,0.0,0.0,53,55,99.9,31.0,14.0,100.0,0.0,0.0,1.03,42.9,40,67.1,0.0,0.0,7.2,1396.6,0.9,81.6,33.6,3.9,61,41,0.1,0.0,2.9,0.145,0.0,45,16.2,7.2,16.4,36.0,14.4,0.0,39,10.625,0.0,14.0,0.0,55,0.0,0.1,36,0.0,45,0.4,4189.8,6.3,24.4,0.0,1.025,16.2,18.417,39.0,1,0.9,22.6,25.4,0.7,81.5,21.6.2026,1.025,47,4,0.0,0.0,607,0.0,67.3,0.0,0.0,7.3,19.0,0.0,0.0,0.0,14.4,1.031,3890.5,44,2.9,0.005,92.5,300.0,2.4,0,0.986,1097.3,0.0,0.0,49.3,2992.7,0.0,0,0.0,1.034,0.6,1.039,1.03,0,30.0,11.0,1257.9,16.4,583.1,1.031,491.6,4489.0,38.3,2.4
49,45.9,41.0,5262,21:37:25.223,60.4,0.0,0.0,5.525,1097.3,17.9,81.7,68,0.0,15.7,53,0.0,0.0,76.1,2369.2,1919.0,38.8,1.5,0.0,70.0,47,51,47,11.5,68,0.0,36,20.459,35.5,0,45.4,11159,45.5,46,0.0,34.8,5.3,6.6,0.0,4489.0,0.0,54,1.025,0.0,6.8,24.6,53,0.0,0.0,0.0,280.7,0.1,0.0,13.5,60.4,2632,4.8,47,0.0,9536,46.0,4.1,56,11.0,0.1,44.1,0.1,0.0,42.0,51,0.0,0.0,0.1,14.0,8.0,3.3,0.1,2.1,0,0.0,2.2,44,0.1,3.726,16.033,514.8,1097.3,7.7,56,0.0,74.0,530,7.843,0.0,0.0,32,53,88.2,11.0,45.2,92.4,0.1,0.0,0.71,303.9,39,58.8,0.0,0.0,13.2,4489.0,0.9,41.2,18.7,26.0,68,42,0.1,9.9,2.1,0.297,0.0,47,3.3,8.7,21.5,36.0,18.5,0.0,56,15.0,0.0,45.0,0.9,53,0.0,0.1,36,0.0,45,93.5,4189.8,13.7,21.4,0.0,0.71,27.4,20.059,39.0,1,0.9,72.4,23.8,1.7,141.1,21.6.2026,1.021,49,4,0.0,0.0,607,6.9,66.6,0.0,0.1,12.0,45.0,0.0,0.0,0.0,18.5,0.911,3890.5,44,12.0,0.004,87.1,300.0,5.5,0,0.988,1097.3,0.0,0.0,59.9,1097.3,0.0,0,0.0,1.03,3.0,1.041,0.7,0,11.0,11.0,1464.4,21.5,1851.5,1.055,581.6,1396.6,6.6,0.4
50,39.3,40.0,5292,21:37:26.237,62.1,0.0,0.0,5.525,1097.3,12.4,7.8,61,0.0,5.1,55,0.3,0.0,95.0,2344.3,2441.9,39.0,1.9,0.0,79.9,45,52,45,12.6,61,0.0,36,20.459,48.9,0,39.5,11133,18.1,45,0.2,43.3,0.4,1.7,0.0,4489.0,0.0,55,0.971,0.3,1.8,7.9,53,0.2,0.0,0.163,89.3,0.1,0.0,17.3,62.1,2603,0.1,45,0.0,9562,46.2,4.1,55,11.0,0.1,50.5,0.1,0.0,43.0,50,0.0,0.0,0.1,14.0,3.9,0.0,0.2,2.8,0,0.0,17.1,48,0.4,3.726,16.033,434.0,1097.3,0.3,55,0.0,91.7,530,7.843,0.0,0.0,39,55,99.6,11.0,18.0,99.3,0.1,0.0,0.686,437.8,40,61.6,0.0,0.0,6.3,4189.8,0.0,78.6,24.0,8.3,61,42,0.1,0.0,3.0,0.297,0.0,47,2.0,8.1,17.3,36.0,12.5,0.0,52,13.75,0.0,42.0,0.0,55,0.0,0.1,36,0.0,45,3.6,4289.5,6.5,13.1,0.0,0.697,32.8,18.919,39.0,1,0.0,26.9,23.5,1.4,68.9,21.6.2026,0.994,48,4,0.0,0.0,607,0.6,67.0,0.0,0.1,6.2,45.0,0.0,0.0,0.0,12.5,0.932,3890.5,45,12.5,0.065,93.4,300.0,1.1,0,0.986,1097.3,0.0,0.0,55.2,1097.3,0.0,0,0.0,1.071,3.0,0.994,0.989,0,11.0,11.0,1406.0,17.2,696.2,1.059,511.1,1396.6,1.5,1.3
46,23.8,42.0,5292,21:37:27.259,72.8,0.0,1.0,5.525,1097.3,10.1,61.1,48,0.0,2.3,55,0.0,0.0,123.0,2020.1,3188.1,39.0,1.9,0.0,95.5,45,52,45,3.0,57,0.0,36,18.888,27.8,0,24.8,11134,12.6,46,0.0,50.4,0.1,1.4,0.0,4489.0,0.0,54,1.035,0.1,0.0,3.6,55,0.1,0.0,0.0,41.3,0.0,0.0,3.0,72.8,2603,3.7,45,0.0,9561,46.1,4.1,58,11.0,0.0,50.2,0.0,0.0,14.0,54,0.0,0.0,0.0,45.0,0.2,0.0,0.1,0.5,0,0.0,3.1,60,0.1,3.862,14.303,402.9,1097.3,0.2,58,0.0,95.2,530,7.605,0.0,0.0,52,55,99.8,11.0,11.5,94.4,0.0,0.0,1.02,73.0,40,72.5,0.0,0.0,0.0,1396.6,0.0,88.4,51.2,3.4,60,42,0.1,0.0,1.8,0.335,0.0,45,9.7,8.8,15.9,42.0,10.5,0.0,40,13.75,0.0,14.0,0.0,55,0.0,0.1,36,0.0,45,2.3,1396.6,2.2,16.2,0.0,1.02,16.0,16.782,39.0,1,0.0,19.0,20.2,1.0,2.4,21.6.2026,1.023,48,4,0.0,0.0,607,5.5,67.0,0.0,0.0,0.2,45.0,0.0,0.0,0.0,10.5,1.028,3890.5,45,1.9,0.183,99.8,350.0,0.0,0,0.983,1097.3,0.0,0.0,37.1,1097.3,0.0,0,0.0,1.05,0.4,1.033,1.018,0,11.0,11.0,952.5,15.9,484.5,1.026,473.2,4489.0,7.2,2.5
