P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],GPU D3D Uso (avg) [%],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
70,0.0,42.0,5803,19:43:17.001,0.9,0.0,0.0,4.992,3092.4,8.6,27.1,57,0.001,0.3,51,0.0,0.0,1.4,3229.6,35.1,39.5,7.2,0.0,23.5,49,49,49,22.8,69,0.0,38,4.522,202.9,0,1.5,10231,64.6,43,0.0,51.6,0.0,98.9,0.0,4289.5,0.0,57,1.047,0.0,29.1,1.1,51,0.0,0.0,0.0,14.1,0.0,1.4,22.4,64.6,2092,0.8,49,0.0,10976,51.7,7.3,70,31.0,0.0,49.5,0.0,0.0,45.0,30,0.0,0.0,0.0,43.0,0.0,0.0,0.1,0.5,0,0.0,0.0,44,0.1,2.589,1.455,296.2,2992.7,0.0,70,0.0,98.8,972,2.048,0.0,0.0,43,51,99.9,30.0,68.6,97.6,0.0,0.0,1.034,546.1,41,1.0,0.0,0.0,1.5,4489.0,32.3,0.0,6.3,0.0,70,42,3.6,1.5,9.0,0.108,0.0,49,0.0,10.6,11.0,36.0,11.5,0.0,56,18.75,0.0,45.0,4.4,51,0.0,0.0,2.9,38,0.6,45,0.5,4489.0,49.3,84.2,0.0,1.034,0.0,10.594,39.0,1,1.5,98.3,32.4,0.5,0.6,21.6.2026,1.041,51,0.0,0.0,600,2.1,73.4,0.0,0.0,0.0,43.0,0.0,0.0,11.5,1.041,3890.5,45,22.9,0.003,99.9,300.0,0.0,0,0.988,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.047,0.5,1.036,1.041,0,11.0,11.0,0.5,11.0,2726.2,1.043,351.4,4289.5,0.0,7.2
72,0.0,42.0,5813,19:43:18.008,12.3,0.0,6.7,4.992,3092.4,14.9,140.1,69,0.014,11.9,51,5.9,0.0,21.5,3291.9,522.8,39.5,34.7,0.0,28.4,49,46,49,24.0,68,0.0,38,11.234,1510.8,0,0.0,10222,90.7,52,0.0,32.2,7.6,62.4,0.0,4489.0,0.0,48,1.042,0.4,11.8,6.0,51,0.2,0.0,2.359,127.9,0.2,7.5,38.9,90.7,2082,11.5,49,0.0,10985,51.7,7.3,68,31.0,0.2,44.6,0.1,0.0,45.0,28,0.0,0.0,0.1,45.0,7.9,2.6,0.4,3.6,0,0.0,0.0,45,6.3,3.194,7.462,612.7,3092.4,3.5,68,2.9,86.7,972,4.031,0.0,0.0,31,51,93.5,31.0,87.3,89.5,0.1,0.0,0.999,969.5,42,12.6,0.0,0.0,1.4,4489.0,0.9,0.0,25.6,9.8,72,43,11.4,4.9,45.1,0.165,0.0,49,0.0,15.7,25.2,42.0,15.0,0.0,55,22.5,0.0,45.0,0.0,51,0.0,0.0,11.5,38,1.9,45,81.5,4489.0,43.9,38.0,0.0,1.014,23.1,22.067,39.0,1,0.0,156.6,33.0,9.7,85.7,21.6.2026,1.019,54,0.0,9.0,598,6.7,73.6,0.0,0.4,3.4,45.0,0.0,0.0,15.0,1.029,3890.5,45,24.6,0.509,87.0,350.0,0.3,0,0.988,1097.3,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.047,2.6,1.044,1.019,0,11.0,11.0,0.7,25.2,3896.8,1.05,708.4,4489.0,10.0,26.2
49,0.0,42.0,5812,19:43:19.020,0.0,0.0,0.0,4.992,2493.9,7.0,5.5,51,0.149,0.5,54,0.0,0.0,2.7,3641.1,24.5,39.5,12.3,0.0,20.8,46,52,46,27.7,52,0.212,38,22.026,479.4,0,0.0,10223,73.4,51,0.0,47.6,0.1,99.0,0.0,4489.0,0.0,49,1.065,0.5,50.4,0.0,54,0.2,0.0,0.0,0.8,0.0,4.5,38.1,73.4,2083,2.4,46,0.0,10984,51.7,7.3,45,25.0,0.1,50.2,0.1,0.0,45.0,51,0.0,0.0,0.0,41.0,0.4,0.0,0.0,0.5,0,0.0,0.0,46,0.0,3.508,17.774,240.5,3092.4,0.0,45,0.0,99.9,972,6.499,0.0,0.0,49,54,100.0,31.0,43.1,99.5,0.1,0.0,1.047,958.0,42,0.7,0.0,0.0,3.2,4489.0,0.0,0.0,14.7,0.3,51,43,9.2,0.0,38.1,0.21,0.0,46,0.0,14.2,17.1,42.0,12.6,0.0,54,5.625,0.0,45.0,23.8,54,0.0,0.0,9.1,38,1.5,45,0.7,4489.0,48.1,70.6,0.0,1.047,0.0,16.129,39.0,1,0.0,122.2,36.5,0.6,1.1,21.6.2026,1.057,48,0.0,0.0,598,0.3,73.6,0.0,0.1,0.1,45.0,0.0,0.0,12.6,1.051,3890.5,45,27.9,0.0,99.8,350.0,2.2,0,0.983,2992.7,0.0,0.0,0.1,2992.7,0.0,0,0.0,1.05,3.6,1.052,1.047,0,30.0,30.0,1.0,17.1,1410.7,1.043,288.0,4090.0,0.0,22.8
43,0.0,42.0,5813,19:43:20.018,5.6,0.0,0.0,4.992,1097.3,7.4,61.7,44,0.056,0.7,55,0.1,0.0,2.6,1695.9,61.9,39.5,22.5,0.0,0.1,45,55,45,31.0,45,0.0,38,7.062,518.9,0,30.9,10220,25.9,45,0.0,28.6,0.1,86.2,0.0,2194.6,0.0,55,0.749,0.4,59.6,0.8,53,0.4,0.0,0.031,11.9,0.0,5.4,21.8,31.0,2082,3.4,45,0.0,10987,51.8,7.3,45,11.0,0.0,49.1,0.1,0.0,22.0,57,0.0,0.0,0.1,22.0,0.3,0.0,0.7,0.8,0,0.0,0.0,44,0.8,3.382,3.068,150.2,1795.6,0.1,45,0.0,98.9,972,3.284,0.0,0.0,56,55,99.8,18.0,25.9,94.4,0.0,0.0,0.746,534.5,42,2.6,0.0,0.0,1.9,1895.4,0.1,11.4,57.6,2.3,47,43,8.0,1.6,21.2,0.182,0.0,47,0.0,24.1,6.2,36.0,11.5,0.0,56,1.875,0.0,19.0,0.0,55,0.0,0.0,7.4,38,1.3,45,2.2,2194.6,65.2,16.7,0.0,0.717,10.4,7.119,8.0,1,8.5,24.4,17.0,0.5,5.4,21.6.2026,0.732,45,0.0,0.0,598,4.6,73.6,0.0,0.0,0.4,22.0,0.0,0.0,11.5,0.735,798.0,45,31.1,0.443,99.5,300.0,0.0,0,0.648,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.739,0.6,0.737,0.746,0,11.0,11.0,0.6,6.2,603.8,0.715,172.9,2194.6,7.3,22.5
58,0.0,43.0,5855,19:43:21.017,5.3,0.0,3.7,4.992,1097.3,14.2,196.5,51,0.056,5.5,50,19.7,0.0,7.1,2730.8,180.3,39.5,14.1,0.0,0.0,50,48,50,31.3,54,0.0,38,7.062,329.5,0,0.2,10192,72.8,53,0.0,33.2,2.7,82.4,0.0,4389.3,0.0,47,1.018,0.4,23.9,11.4,48,0.2,0.0,7.286,162.7,0.2,4.6,33.0,72.8,2040,7.5,50,0.0,11015,51.9,7.3,53,11.0,0.0,43.0,0.0,0.0,43.0,42,0.0,0.0,0.0,44.0,3.7,0.6,0.4,0.8,0,0.0,0.0,53,20.1,3.382,3.068,409.8,1097.3,8.3,53,1.7,83.6,972,3.284,0.0,0.0,49,50,89.7,11.0,74.9,82.7,0.0,0.0,0.682,829.9,42,5.3,0.0,0.0,3.7,4389.3,0.2,0.0,33.1,5.6,58,43,7.2,4.2,13.6,0.182,0.0,52,0.0,17.6,15.2,36.0,13.3,0.0,47,30.0,0.0,44.0,13.6,50,0.0,0.0,6.4,38,1.2,45,114.4,4289.5,65.4,50.5,0.0,0.686,11.5,10.947,38.0,1,0.2,109.4,27.4,8.4,146.0,21.6.2026,1.015,52,0.0,0.6,600,14.0,74.1,0.0,0.3,10.6,44.0,0.0,0.0,13.3,0.935,3790.7,45,31.4,0.465,87.9,300.0,0.0,0,0.961,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.027,1.0,1.007,1.015,0,11.0,11.0,0.9,15.2,2947.9,1.03,455.9,4389.3,8.6,14.2
41,0.0,43.0,5841,19:43:22.031,7.5,0.0,2.9,4.992,1995.1,9.9,153.4,42,0.044,13.0,55,0.4,0.0,11.9,1558.7,279.6,39.5,27.5,0.0,22.4,45,56,45,21.8,45,0.0,38,11.4,1050.1,0,0.0,10205,33.0,45,0.0,42.1,5.9,70.1,0.0,2094.9,0.0,55,0.683,0.5,30.0,14.4,55,0.0,0.0,1.032,159.6,0.0,7.0,24.7,33.0,2054,12.5,45,0.0,11002,51.8,7.3,45,20.0,0.0,45.3,0.0,0.0,14.0,59,0.0,1.6,0.1,14.0,7.7,0.0,0.1,0.6,0,0.0,0.8,44,0.5,3.995,6.779,269.1,1995.1,1.8,45,6.6,82.5,972,6.82,0.0,0.0,58,55,98.1,20.0,26.6,79.3,0.0,0.0,0.716,610.1,43,8.5,0.0,0.0,10.6,1396.6,0.0,29.9,23.0,20.6,45,43,7.9,7.0,42.0,0.176,0.0,45,0.0,17.0,13.9,42.0,12.3,0.0,56,3.75,6.5,14.0,0.0,55,0.0,0.0,7.8,38,1.3,45,20.3,1396.6,50.9,46.0,0.0,0.716,19.5,12.077,8.0,1,0.0,48.5,15.6,1.2,44.9,21.6.2026,0.769,44,0.0,2.8,602,13.6,73.9,0.0,0.1,4.0,21.0,0.0,0.0,12.3,0.725,798.0,45,22.2,0.142,93.0,350.0,8.7,0,0.648,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.726,0.4,0.719,0.774,0,11.0,11.0,0.5,13.9,908.1,0.692,291.6,1396.6,19.1,27.6
55,0.1,44.0,5845,19:43:23.040,6.6,0.0,0.0,3.706,2693.4,10.6,259.7,53,0.059,8.0,55,0.6,2.622,10.7,3179.7,273.2,39.5,7.5,3.6,6.5,45,52,45,43.0,53,0.0,38,11.583,233.4,221,11.3,10190,27.5,50,8.2,53.2,0.1,92.5,0.0,4489.0,48.2,50,1.043,0.3,28.0,12.8,55,0.4,0.0,0.52,145.5,0.1,0.1,57.4,43.0,2050,14.6,45,0.0,11017,51.9,7.3,55,27.0,0.1,46.5,0.1,10.222,45.0,45,3.0,1.3,0.1,45.0,3.9,0.0,0.1,1.5,5920,60.0,0.0,46,0.8,4.037,6.955,273.8,2593.7,0.1,55,0.0,86.6,972,6.484,0.8,7.222,47,55,99.6,26.0,27.5,76.2,0.1,0.0,1.028,1466.5,44,6.5,1830.0,1815.0,8.0,4489.0,17.1,33.2,9.5,13.1,55,43,0.1,0.0,9.6,0.17,19.883,45,0.0,9.6,11.5,162.0,18.3,1920.0,54,21.875,2.2,45.0,26.6,55,7.6,0.0,0.1,38,0.0,45,1.3,4489.0,39.1,80.7,19.886,1.031,0.0,8.857,39.0,0,34.8,33.0,31.9,1.3,70.3,21.6.2026,1.033,48,19.786,0.0,602,23.0,74.0,0.0,0.1,6.3,45.0,16.0,4.613,18.3,1.037,3890.5,45,43.2,0.435,93.2,1300.0,8.0,8,0.983,1097.3,1750.2,4.593,0.1,1097.3,41.7,4,87.0,1.023,1.1,1.028,1.023,1,11.0,11.0,1.5,11.5,830.7,1.082,288.1,4489.0,24.0,7.6
55,0.0,42.0,5840,19:43:24.031,0.0,0.0,0.0,3.706,1097.3,11.5,82.5,50,0.002,1.2,53,0.1,0.0,0.4,2269.4,9.9,39.5,24.9,0.0,43.7,47,52,47,26.9,55,0.0,38,9.608,1043.3,0,0.0,10198,76.6,42,3.2,52.3,0.0,99.5,0.0,4489.0,0.0,58,1.038,0.1,6.3,1.7,53,0.0,0.0,0.12,20.9,0.1,0.0,39.6,76.6,2054,4.4,47,0.0,11009,51.9,7.3,55,11.0,0.0,51.1,0.0,0.0,45.0,45,0.0,0.0,0.0,34.0,0.8,0.0,0.1,0.5,0,0.0,4.8,45,0.2,3.844,5.221,462.7,1097.3,0.0,55,0.0,98.2,972,5.673,0.0,0.0,50,53,100.0,11.0,76.4,93.6,0.0,0.0,1.033,1008.8,43,0.3,0.0,0.0,1.8,1396.6,0.0,5.5,8.0,0.7,55,43,0.0,0.5,41.2,0.143,0.0,47,0.0,4.7,18.2,162.0,11.6,0.0,55,7.5,0.0,14.0,2.1,53,0.0,0.0,0.0,38,0.0,46,0.4,4489.0,23.5,60.7,0.0,1.038,0.0,14.341,39.0,0,0.0,130.6,22.8,3.2,15.8,21.6.2026,1.043,48,0.0,0.0,602,6.2,73.9,0.0,0.1,1.4,45.0,0.0,0.0,11.6,1.038,3890.5,45,26.6,0.126,98.5,1300.0,10.2,0,0.983,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.049,0.6,1.033,1.028,0,11.0,11.0,0.6,18.2,3366.4,1.044,544.9,3391.7,6.5,24.2
58,0.0,43.0,6087,19:43:25.036,38.3,0.0,0.0,3.706,2992.7,9.8,63.9,51,0.001,0.4,51,13.3,0.0,3.5,2880.5,90.2,39.5,6.6,0.0,13.0,47,50,49,24.6,54,0.0,38,13.905,286.6,0,30.1,9352,77.4,54,0.0,50.9,0.0,97.5,0.0,1396.6,0.0,46,1.04,0.0,21.5,0.8,51,0.0,0.0,73.711,8.6,0.0,0.0,37.7,77.4,1808,3.5,47,0.0,11855,55.8,7.3,61,30.0,0.0,49.2,0.0,0.0,45.0,42,0.0,0.0,0.0,45.0,0.1,0.0,0.0,0.5,0,0.0,0.0,46,13.4,3.577,9.773,397.1,3092.4,0.0,61,0.0,99.2,972,6.552,0.0,0.0,49,53,100.0,31.0,77.3,94.5,0.0,0.0,1.0,950.1,43,2.2,0.0,0.0,0.0,4389.3,0.0,0.0,0.0,1.6,58,43,0.1,1.1,11.1,0.153,0.0,49,0.0,9.9,15.6,80.0,18.1,0.0,54,14.375,0.0,44.0,0.0,53,0.0,0.0,0.1,38,0.0,45,0.4,4489.0,57.5,93.0,0.0,1.01,0.0,13.623,39.0,0,30.9,130.7,28.9,0.6,0.8,21.6.2026,1.02,50,0.0,0.0,602,5.3,77.0,0.0,0.0,0.1,14.0,0.0,0.0,18.1,1.022,3890.5,45,25.5,0.003,99.9,650.0,0.0,0,0.981,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.022,0.4,1.02,1.02,0,11.0,11.0,0.4,15.6,3363.0,1.043,469.3,4489.0,5.0,7.6
53,0.0,44.0,6112,19:43:26.053,9.9,0.0,0.0,3.706,2992.7,11.2,80.5,49,0.0,3.2,53,0.1,0.0,14.5,2930.3,378.1,39.5,35.7,0.0,42.8,47,52,47,22.2,62,0.0,38,16.3,1492.3,0,0.0,9327,52.3,46,8.1,50.0,0.1,90.5,0.0,4489.0,0.0,54,0.983,0.0,14.7,4.9,53,0.0,0.0,0.067,56.6,0.0,0.0,32.7,52.3,1783,4.6,47,0.0,11879,56.0,7.3,58,30.0,0.0,51.9,0.0,0.0,45.0,47,0.0,0.0,0.0,37.0,0.8,0.0,0.2,0.5,0,0.0,0.0,48,0.3,3.821,11.804,425.0,1097.3,1.0,58,0.0,94.9,972,7.432,0.0,0.0,51,53,98.9,11.0,52.7,93.0,0.0,0.0,1.005,838.1,42,9.1,0.0,0.0,2.2,4489.0,20.6,9.5,5.4,4.8,53,44,0.1,1.1,57.7,0.286,0.0,47,0.0,5.4,16.6,56.0,13.0,0.0,52,15.0,0.0,45.0,1.1,53,0.0,0.0,0.0,38,0.0,46,12.2,4489.0,23.3,57.0,0.0,1.006,0.0,16.422,39.0,0,0.0,85.9,29.4,0.4,13.8,21.6.2026,1.067,48,0.0,0.0,602,6.7,77.4,0.0,0.0,1.2,45.0,0.0,0.0,13.0,1.032,3890.5,46,22.9,0.287,98.8,450.0,21.3,0,0.986,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.032,0.6,1.037,1.055,0,11.0,11.0,0.8,16.6,2226.5,1.069,496.3,3691.0,6.6,35.2
70,0.0,44.0,6073,19:43:27.043,23.3,0.0,0.0,3.706,1097.3,11.7,36.1,58,0.0,1.0,48,0.9,0.0,36.6,1982.7,942.5,39.5,30.3,0.0,48.1,52,47,52,27.1,72,0.0,38,16.3,1206.0,0,1.4,9351,48.4,46,0.6,50.1,3.4,76.0,0.0,4189.8,0.0,54,1.041,0.1,24.1,1.7,48,0.0,0.0,0.839,20.6,0.0,0.0,38.8,48.4,1821,2.0,52,0.0,11856,55.9,7.3,70,11.0,0.0,50.6,0.1,0.0,45.0,30,0.0,0.0,0.0,14.0,0.8,0.0,0.0,0.5,0,0.0,5.1,45,0.9,3.821,11.804,440.1,1097.3,4.7,70,0.0,98.2,972,7.432,0.0,0.0,42,48,95.2,11.0,48.3,96.7,0.0,0.0,0.667,984.0,44,23.3,0.0,0.0,0.9,1396.6,1.3,15.3,1.4,1.2,70,44,0.1,5.4,47.0,0.286,0.0,52,0.0,5.2,17.4,42.0,13.5,0.0,55,18.125,0.0,14.0,1.3,48,0.0,0.0,0.1,38,0.0,46,51.8,4489.0,16.0,61.1,0.0,0.667,0.0,17.647,39.0,0,18.8,78.7,19.9,0.7,16.4,21.6.2026,1.004,53,0.0,0.0,602,2.9,76.9,0.0,0.0,1.4,42.0,0.0,0.0,13.5,0.941,3890.5,45,27.8,0.024,98.6,350.0,10.4,0,0.988,1097.3,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.051,1.3,1.044,1.012,0,11.0,11.0,0.8,17.4,2019.9,1.046,522.4,1396.6,2.7,30.3
53,0.0,44.0,6124,19:43:28.042,21.4,0.0,0.7,3.706,2992.7,11.6,77.5,52,0.001,2.5,52,0.1,0.0,34.7,2469.0,894.7,39.5,31.4,0.0,50.3,45,52,48,29.3,52,0.0,38,17.516,1225.3,0,0.0,9328,40.7,50,8.7,52.6,0.1,72.7,0.0,1396.6,0.0,50,1.041,0.5,4.9,3.4,52,0.0,0.0,0.041,40.8,4.7,0.0,40.7,40.7,1771,4.1,45,0.0,11879,56.0,7.3,60,30.0,0.0,52.9,0.1,0.0,45.0,47,0.0,0.0,0.0,14.0,1.5,0.0,0.0,0.6,0,0.0,4.5,46,0.1,3.989,12.868,427.0,3092.4,0.1,60,0.0,95.5,972,7.438,0.0,0.0,48,55,99.9,31.0,39.7,92.6,0.0,0.0,1.024,1025.8,43,21.6,0.0,0.0,0.6,2593.7,0.0,29.1,3.8,2.0,53,45,0.1,0.0,47.8,0.266,0.0,48,0.0,1.5,16.9,42.0,11.4,0.0,54,6.25,0.0,26.0,2.9,55,0.0,0.0,0.1,38,0.0,46,1.2,4489.0,2.4,58.2,0.0,1.039,0.3,16.985,39.0,0,0.0,63.1,24.8,205.1,25.2,21.6.2026,1.026,48,0.0,0.0,602,6.8,77.5,0.0,7.9,2.2,14.0,0.0,0.0,11.4,0.996,3890.5,46,29.2,0.004,97.7,350.0,24.5,0,0.981,2693.4,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.028,1.1,1.026,1.026,0,11.0,27.0,1.3,16.9,1624.9,0.756,500.5,1396.6,7.7,32.3
49,0.1,44.0,6064,19:43:29.059,27.5,0.0,0.0,3.706,2992.7,16.0,203.4,67,0.0,8.5,52,0.3,0.0,39.2,2219.6,993.7,39.5,35.9,0.0,32.4,49,50,48,28.3,67,0.0,38,19.383,1048.5,0,0.0,9358,69.8,48,8.2,38.1,0.1,67.8,0.0,4489.0,0.0,52,0.968,0.0,10.7,12.9,52,0.0,0.0,0.263,149.6,0.1,0.0,31.3,69.8,1831,11.4,49,0.0,11849,55.8,7.3,61,30.0,0.1,47.9,0.1,0.0,14.0,51,0.0,0.0,0.1,42.0,0.4,0.0,0.1,1.7,0,0.0,6.2,46,0.4,3.836,14.875,487.5,1097.3,0.1,61,0.0,86.2,972,7.688,0.0,0.0,33,51,99.9,11.0,68.7,81.5,0.1,0.0,0.696,759.4,43,27.2,0.0,0.0,0.1,1396.6,0.0,16.7,16.2,15.9,67,45,0.1,0.0,42.7,0.292,0.0,48,0.0,6.4,19.9,42.0,16.3,0.0,54,16.25,0.0,14.0,0.0,51,0.0,0.0,0.1,38,0.0,46,1.1,1396.6,21.1,35.6,0.0,0.696,3.5,19.447,39.0,0,0.0,104.9,22.2,1.9,7.0,21.6.2026,0.938,50,0.0,0.0,602,17.5,76.8,0.0,0.1,0.4,45.0,0.0,0.0,16.3,0.903,3890.5,46,28.8,0.103,99.5,350.0,1.5,0,0.986,1097.3,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.028,2.1,0.912,0.943,0,11.0,11.0,1.4,19.9,2679.5,1.041,549.6,4189.8,17.8,36.1
